work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,191765,0,M
2023,EXPERT,FULLTIME,134236,0,M
2023,EXPERT,FULLTIME,190000,100,M
2023,EXPERT,FULLTIME,112000,100,M
2022,EXPERT,FULLTIME,88256,100,L
2023,JUNIOR,FULLTIME,85000,0,M
2023,JUNIOR,FULLTIME,65000,0,M
2023,EXPERT,FULLTIME,135000,0,M
2023,EXPERT,FULLTIME,105500,0,M
2023,EXPERT,FULLTIME,293000,0,M
2023,EXPERT,FULLTIME,185000,0,M
2023,EXPERT,FULLTIME,80000,0,M
2023,EXPERT,FULLTIME,70000,0,M
2023,EXPERT,FULLTIME,220000,100,M
2023,EXPERT,FULLTIME,160000,100,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,145000,100,M
2023,EXPERT,FULLTIME,200000,0,M
2023,EXPERT,FULLTIME,148500,0,M
2023,EXPERT,FULLTIME,48289,0,M
2023,EXPERT,FULLTIME,38631,0,M
2023,EXPERT,FULLTIME,240500,0,L
2023,EXPERT,FULLTIME,123700,0,L
2023,EXPERT,FULLTIME,152900,100,M
2023,EXPERT,FULLTIME,117100,100,M
2023,EXPERT,FULLTIME,173000,100,M
2023,EXPERT,FULLTIME,113000,100,M
2023,EXPERT,FULLTIME,260000,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,DIRECTOR,FULLTIME,175000,0,M
2023,DIRECTOR,FULLTIME,110000,0,M
2023,EXPERT,FULLTIME,260000,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,EXPERT,FULLTIME,130000,100,M
2023,EXPERT,FULLTIME,110000,100,M
2023,EXPERT,FULLTIME,205000,100,M
2023,EXPERT,FULLTIME,184000,100,M
2023,EXPERT,FULLTIME,149500,100,M
2023,EXPERT,FULLTIME,127075,100,M
2023,EXPERT,FULLTIME,195000,0,M
2023,EXPERT,FULLTIME,160000,0,M
2023,EXPERT,FULLTIME,219535,100,M
2023,EXPERT,FULLTIME,146115,100,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,135000,0,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,145000,100,M
2023,EXPERT,FULLTIME,199000,0,M
2023,EXPERT,FULLTIME,162000,0,M
2023,EXPERT,FULLTIME,222200,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,DIRECTOR,FULLTIME,221000,100,M
2023,DIRECTOR,FULLTIME,153000,100,M
2023,EXPERT,FULLTIME,187000,0,M
2023,EXPERT,FULLTIME,128000,0,M
2023,EXPERT,FULLTIME,210000,0,M
2023,EXPERT,FULLTIME,136000,0,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,100000,100,M
2023,EXPERT,FULLTIME,179000,0,M
2023,EXPERT,FULLTIME,109000,0,M
2023,EXPERT,FULLTIME,245000,0,M
2023,EXPERT,FULLTIME,180000,0,M
2023,EXPERT,FULLTIME,142000,100,M
2023,EXPERT,FULLTIME,75000,100,M
2023,EXPERT,FULLTIME,198800,0,M
2023,EXPERT,FULLTIME,105200,0,M
2023,EXPERT,FULLTIME,125000,100,M
2023,EXPERT,FULLTIME,112000,100,M
2023,EXPERT,FULLTIME,210000,0,M
2023,EXPERT,FULLTIME,155000,0,M
2023,EXPERT,FULLTIME,115000,100,M
2023,EXPERT,FULLTIME,86000,100,M
2023,EXPERT,FULLTIME,165000,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,139000,0,M
2023,EXPERT,FULLTIME,106000,0,M
2023,JUNIOR,FULLTIME,40663,0,L
2022,EXPERT,FULLTIME,275000,0,S
2023,EXPERT,FREELANCE,50000,50,S
2023,INTERMEDIATE,FULLTIME,280700,100,M
2023,INTERMEDIATE,FULLTIME,150450,100,M
2023,JUNIOR,FULLTIME,51753,100,L
2023,EXPERT,FULLTIME,250500,0,M
2023,EXPERT,FULLTIME,159500,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,JUNIOR,FULLTIME,130001,100,M
2023,JUNIOR,FULLTIME,71907,100,M
2023,INTERMEDIATE,FULLTIME,93918,100,M
2023,INTERMEDIATE,FULLTIME,51962,100,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,135000,100,M
2023,JUNIOR,FULLTIME,85000,0,M
2023,JUNIOR,FULLTIME,65000,0,M
2023,EXPERT,FULLTIME,257000,0,M
2023,EXPERT,FULLTIME,147000,0,M
2023,EXPERT,FULLTIME,222000,100,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,203000,100,M
2023,EXPERT,FULLTIME,133200,100,M
2023,JUNIOR,FULLTIME,213660,0,L
2023,JUNIOR,FULLTIME,130760,0,L
2023,EXPERT,FULLTIME,221000,0,M
2023,EXPERT,FULLTIME,147000,0,M
2023,EXPERT,FULLTIME,100000,0,M
2023,EXPERT,FULLTIME,80000,0,M
2023,EXPERT,FULLTIME,185900,0,M
2023,EXPERT,FULLTIME,129300,0,M
2023,EXPERT,FULLTIME,238000,100,M
2023,EXPERT,FULLTIME,156000,100,M
2023,EXPERT,FULLTIME,304000,100,M
2023,EXPERT,FULLTIME,199000,100,M
2023,INTERMEDIATE,FULLTIME,48289,100,M
2023,EXPERT,FULLTIME,150000,0,M
2023,EXPERT,FULLTIME,130000,0,M
2023,EXPERT,FULLTIME,140000,100,M
2023,EXPERT,FULLTIME,110000,100,M
2023,INTERMEDIATE,FULLTIME,90000,0,M
2023,INTERMEDIATE,FULLTIME,75000,0,M
2023,INTERMEDIATE,FULLTIME,195895,0,M
2023,INTERMEDIATE,FULLTIME,102772,0,M
2023,EXPERT,FULLTIME,240000,0,M
2023,EXPERT,FULLTIME,183600,0,M
2023,INTERMEDIATE,FULLTIME,130000,0,M
2023,INTERMEDIATE,FULLTIME,80000,0,M
2023,EXPERT,FULLTIME,250000,0,M
2023,EXPERT,FULLTIME,150000,0,M
2023,EXPERT,FULLTIME,160000,100,M
2023,EXPERT,FULLTIME,120000,100,M
2023,EXPERT,FULLTIME,289076,0,M
2023,EXPERT,FULLTIME,202353,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,155000,0,M
2023,EXPERT,FULLTIME,106000,0,M
2023,EXPERT,FULLTIME,200000,0,M
2023,EXPERT,FULLTIME,160000,0,M
2023,EXPERT,FULLTIME,157750,100,M
2023,EXPERT,FULLTIME,104650,100,M
2023,INTERMEDIATE,FULLTIME,180000,100,M
2023,INTERMEDIATE,FULLTIME,140000,100,M
2023,DIRECTOR,FULLTIME,200000,0,M
2023,DIRECTOR,FULLTIME,145000,0,M
2023,INTERMEDIATE,FULLTIME,68000,0,L
2023,JUNIOR,FULLTIME,60000,100,M
2023,EXPERT,FULLTIME,48289,0,M
2023,EXPERT,FULLTIME,38631,0,M
2023,JUNIOR,FULLTIME,85000,0,M
2023,JUNIOR,FULLTIME,65000,0,M
2023,INTERMEDIATE,FULLTIME,125000,0,M
2023,INTERMEDIATE,FULLTIME,90000,0,M
2023,EXPERT,FULLTIME,105000,100,M
2023,EXPERT,FULLTIME,90000,100,M
2023,EXPERT,FULLTIME,179820,0,M
2023,EXPERT,FULLTIME,143860,0,M
2023,EXPERT,FULLTIME,135000,0,M
2023,EXPERT,FULLTIME,105500,0,M
2023,JUNIOR,FULLTIME,155000,0,M
2023,JUNIOR,FULLTIME,125000,0,M
2023,EXPERT,FULLTIME,241000,0,M
2023,EXPERT,FULLTIME,181000,0,M
2023,EXPERT,FULLTIME,252000,0,M
2023,EXPERT,FULLTIME,154000,0,M
2023,DIRECTOR,FULLTIME,180000,0,M
2023,DIRECTOR,FULLTIME,155000,0,M
2023,EXPERT,FULLTIME,191765,0,M
2023,EXPERT,FULLTIME,134236,0,M
2023,EXPERT,FULLTIME,175000,100,M
2023,EXPERT,FULLTIME,145000,100,M
2023,EXPERT,FULLTIME,237000,100,M
2023,EXPERT,FULLTIME,145000,100,M
2023,JUNIOR,FULLTIME,155000,0,M
2023,JUNIOR,FULLTIME,125000,0,M
2023,EXPERT,FULLTIME,80000,0,M
2023,EXPERT,FULLTIME,70000,0,M
2023,EXPERT,FULLTIME,146000,0,M
2023,EXPERT,FULLTIME,75000,0,M
2023,JUNIOR,FULLTIME,64200,100,M
2023,JUNIOR,FULLTIME,56100,100,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,130000,0,M
2023,EXPERT,FULLTIME,208450,100,M
2023,EXPERT,FULLTIME,170550,100,M
2023,EXPERT,FULLTIME,125000,0,M
2023,EXPERT,FULLTIME,100000,0,M
2023,INTERMEDIATE,FULLTIME,135000,0,M
2023,INTERMEDIATE,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,200000,100,M
2023,EXPERT,FULLTIME,170000,100,M
2023,EXPERT,FULLTIME,171250,0,M
2023,EXPERT,FULLTIME,113750,0,M
2023,EXPERT,FULLTIME,222200,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,EXPERT,FULLTIME,260000,0,L
2023,EXPERT,FULLTIME,136000,0,L
2023,EXPERT,FULLTIME,153600,0,M
2023,EXPERT,FULLTIME,100500,0,M
2023,EXPERT,FULLTIME,205000,100,M
2023,EXPERT,FULLTIME,184000,100,M
2023,EXPERT,FULLTIME,115000,100,M
2023,EXPERT,FULLTIME,95000,100,M
2023,INTERMEDIATE,FULLTIME,182500,0,M
2023,INTERMEDIATE,FULLTIME,121500,0,M
2023,EXPERT,FULLTIME,203100,0,M
2023,EXPERT,FULLTIME,114500,0,M
2023,INTERMEDIATE,FULLTIME,72914,0,M
2023,INTERMEDIATE,FULLTIME,54685,0,M
2023,EXPERT,FULLTIME,252000,0,M
2023,EXPERT,FULLTIME,129000,0,M
2023,JUNIOR,FULLTIME,92700,100,M
2023,JUNIOR,FULLTIME,61800,100,M
2023,EXPERT,FULLTIME,160000,100,M
2023,EXPERT,FULLTIME,130000,100,M
2023,EXPERT,FULLTIME,258000,0,M
2023,EXPERT,FULLTIME,190000,0,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,135000,0,M
2023,INTERMEDIATE,FULLTIME,167500,0,M
2023,INTERMEDIATE,FULLTIME,106500,0,M
2023,EXPERT,FULLTIME,195000,0,M
2023,EXPERT,FULLTIME,160000,0,M
2023,INTERMEDIATE,FULLTIME,146000,0,M
2023,INTERMEDIATE,FULLTIME,75000,0,M
2022,JUNIOR,FULLTIME,59888,100,L
2023,DIRECTOR,FULLTIME,286000,100,M
2023,DIRECTOR,FULLTIME,207000,100,M
2023,EXPERT,FULLTIME,100000,100,M
2023,EXPERT,FULLTIME,80000,100,M
2023,EXPERT,FULLTIME,223250,0,M
2023,EXPERT,FULLTIME,178600,0,M
2023,DIRECTOR,FULLTIME,353200,0,M
2023,DIRECTOR,FULLTIME,249300,0,M
2023,INTERMEDIATE,FULLTIME,230000,0,M
2023,INTERMEDIATE,FULLTIME,220000,0,M
2023,EXPERT,FULLTIME,297300,100,M
2023,EXPERT,FULLTIME,198200,100,M
2023,INTERMEDIATE,FULLTIME,210000,100,M
2023,INTERMEDIATE,FULLTIME,151800,100,M
2023,EXPERT,FULLTIME,200000,100,M
2023,EXPERT,FULLTIME,170000,100,M
2023,EXPERT,FULLTIME,317070,0,M
2023,EXPERT,FULLTIME,170730,0,M
2023,EXPERT,FULLTIME,128000,0,M
2023,EXPERT,FULLTIME,81500,0,M
2023,JUNIOR,FULLTIME,21461,0,M
2023,EXPERT,FULLTIME,108000,0,M
2023,EXPERT,FULLTIME,60000,0,M
2023,INTERMEDIATE,FULLTIME,134000,100,M
2023,INTERMEDIATE,FULLTIME,124000,100,M
2023,EXPERT,FULLTIME,171250,0,M
2023,EXPERT,FULLTIME,113750,0,M
2023,EXPERT,FULLTIME,165000,0,M
2023,EXPERT,FULLTIME,132300,0,M
2023,EXPERT,FULLTIME,225000,0,M
2023,EXPERT,FULLTIME,175000,0,M
2023,EXPERT,FULLTIME,230000,0,M
2023,EXPERT,FULLTIME,124500,0,M
2023,EXPERT,FULLTIME,247500,0,M
2023,EXPERT,FULLTIME,172200,0,M
2023,EXPERT,FULLTIME,175000,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,148700,0,M
2023,EXPERT,FULLTIME,125600,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,115000,0,M
2023,EXPERT,FULLTIME,200000,0,M
2023,EXPERT,FULLTIME,150000,0,M
2023,JUNIOR,FULLTIME,160000,0,M
2023,JUNIOR,FULLTIME,120000,0,M
2023,EXPERT,FULLTIME,185000,100,M
2023,EXPERT,FULLTIME,120250,100,M
2023,EXPERT,FULLTIME,275300,100,M
2023,EXPERT,FULLTIME,183000,100,M
2023,EXPERT,FULLTIME,170000,100,M
2023,EXPERT,FULLTIME,125000,100,M
2023,INTERMEDIATE,FULLTIME,167500,0,M
2023,INTERMEDIATE,FULLTIME,106500,0,M
2023,EXPERT,FULLTIME,250000,0,M
2023,EXPERT,FULLTIME,200000,0,M
2023,INTERMEDIATE,FULLTIME,135000,50,L
2023,EXPERT,FULLTIME,423834,0,L
2023,EXPERT,FULLTIME,216000,100,M
2023,EXPERT,FULLTIME,184000,100,M
2023,EXPERT,FULLTIME,180000,100,M
2023,EXPERT,FULLTIME,165000,100,M
2023,EXPERT,FULLTIME,185900,0,M
2023,EXPERT,FULLTIME,129300,0,M
2023,EXPERT,FULLTIME,145000,0,M
2023,EXPERT,FULLTIME,120000,0,M
2023,INTERMEDIATE,FULLTIME,143865,0,M
2023,INTERMEDIATE,FULLTIME,115092,0,M
2023,INTERMEDIATE,FULLTIME,130000,0,M
2023,INTERMEDIATE,FULLTIME,90000,0,M
2023,EXPERT,FULLTIME,173000,100,M
2023,EXPERT,FULLTIME,132000,100,M
2023,EXPERT,FULLTIME,208049,0,M
2023,EXPERT,FULLTIME,128500,0,M
2023,EXPERT,FULLTIME,179820,0,M
2023,EXPERT,FULLTIME,143860,0,M
2023,EXPERT,FULLTIME,167500,0,M
2023,EXPERT,FULLTIME,106500,0,M
2023,EXPERT,FULLTIME,275300,100,M
2023,EXPERT,FULLTIME,183500,100,M
2023,INTERMEDIATE,FULLTIME,149600,0,M
2023,INTERMEDIATE,FULLTIME,102000,0,M
2023,DIRECTOR,FULLTIME,145000,0,M
2023,DIRECTOR,FULLTIME,100000,0,M
2023,EXPERT,FULLTIME,190000,100,M
2023,EXPERT,FULLTIME,95000,100,M
2023,EXPERT,FULLTIME,153600,0,M
2023,EXPERT,FULLTIME,106800,0,M
2023,INTERMEDIATE,FULLTIME,96578,0,M
2023,INTERMEDIATE,FULLTIME,80481,0,M
2023,INTERMEDIATE,FULLTIME,128000,0,M
2023,INTERMEDIATE,FULLTIME,85000,0,M
2023,INTERMEDIATE,FULLTIME,151000,0,M
2023,INTERMEDIATE,FULLTIME,140000,0,M
2023,EXPERT,FULLTIME,275300,100,M
2023,EXPERT,FULLTIME,183500,100,M
2023,EXPERT,FULLTIME,220000,0,M
2023,EXPERT,FULLTIME,170000,0,M
2023,EXPERT,FULLTIME,135000,0,M
2023,EXPERT,FULLTIME,105500,0,M
2023,EXPERT,FULLTIME,100000,100,M
2023,EXPERT,FULLTIME,80000,100,M
2023,JUNIOR,FULLTIME,7000,0,S
2023,JUNIOR,FULLTIME,42923,50,M
2023,EXPERT,FULLTIME,160000,100,M
2023,EXPERT,FULLTIME,145000,100,M
2023,INTERMEDIATE,FULLTIME,154000,0,M
2023,INTERMEDIATE,FULLTIME,143000,0,M
2023,INTERMEDIATE,FULLTIME,78990,0,M
2023,INTERMEDIATE,FULLTIME,51039,0,M
2023,JUNIOR,FULLTIME,190000,0,M
2023,JUNIOR,FULLTIME,120000,0,M
2023,INTERMEDIATE,FULLTIME,85066,0,M
2023,INTERMEDIATE,FULLTIME,51039,0,M
2023,INTERMEDIATE,FULLTIME,109371,0,M
